OrderID,ProductID,ProductName,ProductCategory,UnitPrice,Quantity,OrderDate,CustomerID,CustomerRating,ShippingAddress
1001,ELEC-001,4K Smart TV,Electronics,799.99,1,2023-01-15,CUST-101,4.5,"Dallas, TX"
1002,BOOK-001,The Data Scientist's Handbook,Books,45.50,2,2023-01-18,CUST-102,4.8,"New York, NY"
1003,APRL-001,Men's Cotton T-Shirt,Apparel,25.00,3,2023-01-20,CUST-103,4.2,"Los Angeles, CA"
1004,HK-001,Espresso Machine,Home & Kitchen,249.95,1,2023-01-22,CUST-104,4.7,"Chicago, IL"
1005,HB-001,Organic Face Serum,Health & Beauty,35.75,1,2023-01-25,CUST-105,4.9,"Miami, FL"
1006,ELEC-002,Wireless Noise-Cancelling Headphones,Electronics,349.00,1,2023-01-28,CUST-101,4.6,"Dallas, TX"
1007,APRL-002,Women's Yoga Pants,Apparel,49.99,2,2023-02-01,CUST-106,,,"Seattle, WA"
1008,BOOK-002,Advanced Python Programming,Books,59.99,1,2023-02-03,CUST-107,4.9,"Boston, MA"
1009,HK-002,Robotic Vacuum Cleaner,Home & Kitchen,399.00,1,2023-02-05,CUST-108,4.3,"San Francisco, CA"
1010,ELEC-003,Gaming Laptop,Electronics,1499.99,1,2023-02-08,CUST-109,4.8,"Austin, TX"
1011,HB-002,Vitamin C Supplement,Health & Beauty,19.99,3,2023-02-10,CUST-110,4.4,"Denver, CO"
1012,APRL-001,Men's Cotton T-Shirt,Apparel,25.00,5,2023-02-12,CUST-102,4.1,"New York, NY"
1013,BOOK-003,The Art of Statistics,Books,38.00,1,2023-02-15,CUST-111,4.7,"Portland, OR"
1014,ELEC-004,Smartwatch Series 8,Electronics,429.00,1,2023-02-18,CUST-104,4.5,"Chicago, IL"
1015,HK-003,Air Fryer XL,Home & Kitchen,129.99,1,2023-02-20,CUST-112,4.6,"Phoenix, AZ"
1016,APRL-003,Women's Running Shoes,Apparel,89.95,1,2023-02-23,CUST-103,4.3,"Los Angeles, CA"
